Job Title,Salary Estimate,Job Description,Rating,Company Name,Division,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,-1,"Position Summary...
What you'll do...
Data Scientist
Are you a hardcore numbers person who would enjoy solving some of business’ toughest challenges by illuminating phenomena and opportunity held within one of the world’s largest data sets? As a Data Scientist at Walmart Global Tech, the mammoth scale and volume of our global data is virtually limitless. You will create insights that influence how we make decisions that have impact at an unprecedented scale.
Minimum Qualifications
Bachelor of Science and 2 years' data science experience OR Master of Science and 1 year's data science experience.
Bachelor's degree and experience in an analytics related field, Doctorate and experience in an analytics related field, Master's degree and experience in an analytics related field, SQL and relational databases (for example, DB2, Oracle, SQL Server), Statistical Programming Language
Bachelors: Analytics, Bachelors: Economics, Bachelors: Mathematics, Bachelors: Statistics, Doctorate: Analytics, Doctorate: Economics, Doctorate: Mathematics, Doctorate: Statistics, Masters: Analytics, Masters: Economics, Masters: Mathematics, Masters: Statistics
Business Analytics - Certification, Data Mining - Certification, Statistical Analysis - Certification
840 W CALIFORNIA AVE, SUNNYVALE, CA 94086-4828, United States of America",3.3,"Walmart
3.3",,"Sunnyvale, CA",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD)
Data Scientist,-1,"Position Summary...
What you'll do...
Data Scientist
Are you a hardcore numbers person who would enjoy solving some of business’ toughest challenges by illuminating phenomena and opportunity held within one of the world’s largest data sets? As a Data Scientist at Walmart Global Tech, the mammoth scale and volume of our global data is virtually limitless. You will create insights that influence how we make decisions that have impact at an unprecedented scale.
Minimum Qualifications
Bachelor of Science and 2 years' data science experience OR Master of Science and 1 year's data science experience.
Bachelor's degree and experience in an analytics related field, Doctorate and experience in an analytics related field, Master's degree and experience in an analytics related field, SQL and relational databases (for example, DB2, Oracle, SQL Server), Statistical Programming Language
Bachelors: Analytics, Bachelors: Economics, Bachelors: Mathematics, Bachelors: Statistics, Doctorate: Analytics, Doctorate: Economics, Doctorate: Mathematics, Doctorate: Statistics, Masters: Analytics, Masters: Economics, Masters: Mathematics, Masters: Statistics
Business Analytics - Certification, Data Mining - Certification, Statistical Analysis - Certification
840 W CALIFORNIA AVE, SUNNYVALE, CA 94086-4828, United States of America",3.3,"Walmart
3.3",,"Sunnyvale, CA",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD)
Data Scientist,-1,"Come join a growing financial technology company that’s leading the marketplace in both the marketing and servicing of credit cards! Continental Finance Company specializes in credit card options for those consumers with less than perfect credit. We are seeking a Data Scientist to support our Data Science team.

The Data Scientist is responsible for developing quantitative/analytic models and applications in support of the firm's risk underwriting and marketing effort. This role focuses on the development of models, strategies, and operational guidelines for the organization's various credit card products as they relate to the analysis, tracking, and reporting of various risk metrics. This role requires advanced degree in statistics/probability, physics, applied mathematics or another heavy quantitative discipline. Our Quantitative Analytic staff is focused on and responsible for the development of the theory and mathematics behind various models. This position reports to Chief Data Scientist.",4.4,"Continental Finance Company
4.4",,"Wilmington, DE",51 to 200 Employees,2005,Company - Private,Banking & Lending,Financial Services,$5 to $25 million (USD)
Data Analyst,-1,"Job Description: Data Analyst

Why Guaranteed Rate is the BEST Place to Work

Guaranteed Rate is one of the largest retail mortgage lenders in the United States. Headquartered in Chicago, the Company has 7,500 employees in 400 offices across the U.S., and is licensed in all 50 states and Washington, D.C. Since its founding in 2000, Guaranteed Rate has helped hundreds of thousands of homeowners with home purchase loans and refinances and funded more than $59 billion in loans in 2020 alone. The company has cemented itself as Positively Different by introducing innovative technology, such as the world's first Digital Mortgage, by offering low rates and by delivering unparalleled customer service. Honors and awards include: Top Lender for Online Service for 2018 by U.S. News & World Report; Best Mortgage Lender for Online Loans and Best Mortgage Lender for Refinancing by NerdWallet for 2021; HousingWire’s 2020 Tech100 award for the company’s industry-leading FlashClose SM technology; No. 3 ranking in Scotsman Guide's Top Retail Mortgage Lenders 2019; Chicago Agent Magazine’s Lender of the Year for five consecutive years; Chicago Tribune's Top Workplaces list for seven consecutive years. Visit rate.com for more information.

What Makes Our Team Awesome

We are a gritty group of passionate technologists on a mission to dominate the mortgage world!

The Information Technology Team within Guaranteed Rate passionately and consistently puts our customers first. We are building the latest technology to help create the best mortgage experience on the planet and get your mortgage, your way, anytime, anywhere. Whether that is improving our digital mortgage platform, automating loan coordination and underwriting processes, or building out the latest marketing and customer engagement platform, we’re doing it all. We build high performing, self-organized, cross functional agile teams that operate with minimal hierarchy. Information Technology team members hold self and others accountable and live and breathe the tenets of autonomy, mastery and purpose.

Who You Are

The Data Analyst will have a diverse set of responsibilities supporting the design / build of data platforms that enable revenue generation, operational execution, reporting, strategic analysis and next generation Artificial Intelligence / Machine Learning. You will have the opportunity to leverage your data analysis and design skills to help Guaranteed Rate deliver upon the organization’s Data Strategy and Data Management Program. You will work cross-functionally across departments and enhance existing data platforms and build new information infrastructure that helps the business uncover insights, make clear visualizations, tell compelling stories, and drive action and outcomes. The ideal candidate is action-oriented and leverages their experience and academic training to pragmatically tackle complex data problems, including addressing regulatory obligations. The Guaranteed Rate Data Office engages with a diverse array of stakeholders including both business and technology teams. The Data Analyst will deliver data platforms that help the organization realize data-driven decisions and operational optimization.

What You Do

Analyze customer data to develop actionable insights to drive customer behavior and operational efficiencies

Partner with Technology and Data Engineering resources to design, build and implement data platforms in support of analytics, reporting, marketing, operations, etc.

Conduct root-cause data analysis to identify patterns and trends

Explain data anomalies, develop data visualizations and reporting to drive key messaging and recommendations

Deliver data-centric process improvement both individual teams and cross-organization / multi-stakeholder projects

Assists delivering the design, development, and maintenance of databases, data marts and dashboard tools; Orchestrates data quality / integrity improvements for critical data elements

Support strategic projects related to new product deployment and customer-level aggregation deliverables

Support Marketing data extracts, campaign execution including segmentation analysis. Provide observations and business context to deliver meaningful insights to business leads related to campaigns/offers

What Makes You a Perfect Fit

4+ years of progressive professional work experience building data platforms; expertise supporting/executing reporting & analytics, including working in teams of data analytic resources

Experience and a working understanding of data profiling tooling and data analysis methodologies to understand data quality and identify data concerns

Expertise with campaign execution tools and business processes, including data integration and data extraction processes

Advanced understanding and proven experience using data management concepts, data normalization and ETL development

Experienced building presentations with actionable insights

Strong verbal and visual communication skills to present and explain data strategies, data deliverables and data analytic insights

Excellent attention to detail and accuracy

Proven experience with on premise and cloud-based data solutions (SQL Server, Azure, AWS, GCP, Snowflake), data modeling, metadata management, database design/build/implementation/management and data visualization tools/platforms

Sound understanding of data governance concepts

Hands on experience with SQL, Python, or R

Other Useful Details

Employee Type
Full-Time

Pay Range
80,000-100,000+ Bonus and/or Commissions

Location
Remote or Chicago-based",2.9,"Guaranteed Rate
2.9",,Remote,5001 to 10000 Employees,2000,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD)
"Data Scientist, Marketing & Online (Remote)",125000,"Position Purpose:
The Data Scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. Data Scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms. Based on the specific data science team, this role would need to be knowledgeable in one or more data science specializations, such as optimization, computer vision, recommendation, search or NLP.


As a Data Scientist, you will apply advanced analytics methods and algorithms for identifying trends and providing business solutions. This role is expected to present insights and recommendations to non-technical audiences and explain the benefits and impacts of the recommended solutions. In addition, Data Scientists collaborate with business partners and cross-functional teams, requiring effective communication skills, building relationships, and focus on understanding the overall business area being supported.




This position typically reports to Manager or above
This position has 0 Direct Reports



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Typically requires overnight travel less than 10% of the time.
























$160,000 - $90,000",3.8,"The Home Depot
3.8",,"Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
Data Scientist,130000,"The Data scientist will use data tools to drive deep understanding of companys lead data with the goal of improving our ability to convert more leads into opportunities. They will help solve challenging problems using data science techniques.
Job Category: Entry to senior level positions available.
Work locations: In office, hybrid schedules available.
Salary Range: $60,000 - $200,000 commensurate with experience and education.
Roles & Responsibilities
Analyze data to extract valuable insights with goal to improve marketing techniques, and increase sales
Help the team develop analytics on the entire business cycle from Lead generation to Installation",3.8,"Trinity Solar Careers
3.8",,"Wall, NJ",1001 to 5000 Employees,1994,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$100 to $500 million (USD)
Senior Data Scientist - Remote,150000,"Required experience:
· PhD or Master Degree +10 years experience in a domain relevant to Data Science, Machine Learning, Natural Language Processing or clinical environment or demonstrated equivalent track record
5+ years of managing entire data science project life cycle and actively involved in all the phases of project life cycle. Active member of R&D team and responsible for productizing best performing models and deploy it in cloud
3+ years of hands-on experience with deep learning techniques such as Feedforward Neural Network, Convolutional Neural Network (CNN), Recursive Neural Network (RNN), Long short-term memory (LSTM) for NLP tasks like Text Parsing, Text Summarization, Conversational Systems, Advanced Text Analytics",-1,FSS Government Solutions,,Remote,1 to 50 Employees,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,-1
Data Scientist - FULLY REMOTE!,6700,"Ttile: Data Scientist

At Leading Energy Renewable Company, we apply advanced analytics and modeling to address challenging business problems. We aim to promote customized offerings: the right product offered through the right channel, with the right message at the right time for each current or prospective customer. To accomplish this, we leverage our data via predictive modeling, statistical analyses, and optimization. If you love data, programming, creative problem solving, and communicating results, you will fit right in.

Essential Duties/Responsibilities:
Apply statistical modeling or causal inference to optimize marketing efforts with respect to customer acquisition, retention, customer experience, and margin enhancement

Master's Degree in STEM


Have you done any interesting analytics projects for fun? We would love to see them!",3.8,"Matlen Silver
3.8",,Texas,201 to 500 Employees,1980,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
Data Scientist,110000,"SupplyHouse.com, an e-commerce heating, plumbing, and HVAC supply company, is searching for a Data Scientist to join our growing Finance Team! If you have a proven history of providing insights, drawing data-driven conclusions, and are looking for an opportunity to leverage the power of data to maximize a company’s overall success through cross-functional collaboration, we want to hear from you!
This is a remote-based role within select states in the United States. At this time, we are only able to employ those located in the following states: Florida, Georgia, Nevada, New Jersey, New York, North Carolina, Ohio, South Carolina, Tennessee, Texas, and Washington.
This position will require travel to our NY office headquarters for up to four times per year for internal meetings and team-building activities. The cost of travel for employees out of the area will be covered by the company. Additionally, our offices are always available for staff to use as much as desired.",3.9,"SupplyHouse
3.9",,Remote,501 to 1000 Employees,2004,Company - Private,Other Retail Stores,Retail & Wholesale,Unknown / Non-Applicable
"Spatial Data Scientist, Agriculture & Natural Assets",130000,"Use your spatial data analysis and science skills to inform investments in the rapidly emerging Natural Assets investment class and positively impact people and ecosystems by joining the high performing Agriculture & Natural Assets team of Macquarie Asset Management, a world-leading alternative asset manager, as a spatial data scientist.
As a Spatial Data Scientist within our Agriculture & Natural Assets team, you will innovatively use spatial analyses and build tools to perform critical due diligence on elements of investment opportunities, such as forest and agricultural carbon sequestration, restoration and conservation potential, that relate to Macquarie’s broader investment thesis about nature-based solutions and long-term value creation. You will have opportunity to develop and implement techniques to analyze ecological patterns and relationships across different geographical contexts, supporting business leaders to identify investment opportunities that benefit from emerging carbon and other ecosystem services markets. For investments in the forestry sector, you will play a key role in supporting development of forest carbon models, forest inventory analyses and growth and yield models.",4.1,"Macquarie Group Limited
4.1",,"San Francisco, CA",10000+ Employees,1969,Company - Public,Investment & Asset Management,Financial Services,$5 to $10 billion (USD)
